Country,Ctry,Location,Facility,Frequency,VHFDOC,VHFpwr,TRD Copy,DMEDOC,DMEPwr,Latitude,NS,Longitude,WE,Cat,Remarks,Key,DR,MOD,Ch_date2
BRAZIL,B,MANICORE,VOR,112.5,200/450,30,,,0,"05D48'00""",S,"061D17'00""",W,NAT,PROYECTADO,940210,R,,2019-12-15
BRAZIL,B,MARABA,VOR/DME,113.7,200/450,30,,200/450,30,"05D22'00""",S,"049D08'00""",W,ICAO,,940211,R,,2019-12-15
BRAZIL,B,MARICA,VOR/DME,114.0,200/450,30,,200/450,30,"22D58'00""",S,"042D53'00""",W,ICAO,RIO DE JANEIRO/TMA,940212,R,,2019-12-15
BRAZIL,B,MOCORO,VOR/DME,112.4,200/450,30,,200/450,30,"05D12'00""",S,"037D22'00""",W,ICAO,,940213,R,,2019-12-15
BRAZIL,B,NANUQUE,VOR/DME,112.5,200/450,30,,200/450,30,"17D53'00""",S,"040D21'00""",W,NAT,,940214,R,,2019-12-15
BRAZIL,B,NATAL AUGUSTO SEVERO,VOR/DME,114.3,200/450,30,,200/450,30,"05D54'00""",S,"035D14'00""",W,ICAO,,940215,R,,2019-12-15
BRAZIL,B,PARA DE MINAS,VOR/DME,113.8,180/450,27,,180/450,40,"19D50'00""",S,"044D34'00""",W,ICAO,RECOMENDADO,940216,R,,2019-12-15
BRAZIL,B,PAULO AFONSO,VOR,113.3,200/450,30,,,0,"09D24'00""",S,"038D15'00""",W,NAT,,940217,R,,2019-12-15
BRAZIL,B,PELOTAS,VOR,113.3,205/450,30,,,0,"31D43'00""",S,"052D19'00""",W,ICAO,,940218,R,,2019-12-15
BRAZIL,B,PETROLINA,VOR/DME,112.1,200/450,30,,200/450,30,"09D22'00""",S,"040D34'00""",W,ICAO,,940219,R,,2019-12-15
BRAZIL,B,PIRACUNUNGA,ILS,109.3,25/62.5,17,,,0,"21D59'00""",S,"047D20'00""",W,NAT,,940220,R,,2019-12-15
BRAZIL,B,PORTO ALEGRE CANOAS,VOR/DME,117.0,200/450,30,,200/450,30,"29D56'00""",S,"051D11'00""",W,NAT,,940221,R,,2019-12-15
